epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,1848.14,1.39627,1.63495,1.59503,0.00784,1.16524,0.56702,0.44216,0.50302,0.32959,0.56286,0.43759,0.48146,0.23897,1.31617,1.43974,1.55319,0.01046,0,0.00154416,0.00154416,0.00154416
81,1871.77,1.43853,1.62772,1.48368,0.00821,1.11071,0.48778,0.49648,0.51525,0.3346,0.47398,0.48416,0.48676,0.23851,1.3621,1.43361,1.51403,0.01072,0,0.001515,0.001515,0.001515
82,1894.47,1.46151,1.53454,1.51397,0.00904,1.23534,0.54704,0.50923,0.54626,0.35951,0.54894,0.4766,0.51377,0.25054,1.30103,1.46116,1.5158,0.0102,0,0.00148584,0.00148584,0.00148584
83,1917.02,1.40576,1.63623,1.51054,0.00755,1.14782,0.52805,0.53736,0.55154,0.36061,0.51584,0.49648,0.49692,0.23389,1.24561,1.47363,1.51178,0.00982,0,0.0014567,0.0014567,0.0014567
84,1939.17,1.42522,1.72258,1.5372,0.00797,1.18837,0.46387,0.56131,0.54132,0.34988,0.44171,0.5165,0.4595,0.21546,1.25086,1.47259,1.50299,0.00969,0,0.00142758,0.00142758,0.00142758
85,1961.84,1.3971,1.64838,1.53358,0.00786,1.14307,0.49658,0.5081,0.55091,0.35998,0.45953,0.49695,0.5007,0.22608,1.24163,1.4623,1.48149,0.0099,0,0.00139849,0.00139849,0.00139849
86,1983.83,1.46971,1.64163,1.55978,0.00774,1.11739,0.51844,0.54307,0.54601,0.36146,0.50223,0.50991,0.51146,0.23616,1.24042,1.46713,1.51337,0.00974,0,0.00136944,0.00136944,0.00136944
87,2006.55,1.4112,1.72131,1.43404,0.00784,1.14547,0.52539,0.54855,0.55753,0.36944,0.48685,0.53552,0.51278,0.25047,1.2388,1.4432,1.52279,0.00976,0,0.00134046,0.00134046,0.00134046
88,2029.44,1.45009,1.68986,1.48983,0.00807,1.19271,0.46581,0.58144,0.53585,0.35611,0.48854,0.48984,0.50421,0.25786,1.21285,1.43643,1.51055,0.00942,0,0.00131154,0.00131154,0.00131154
89,2051.95,1.43444,1.65675,1.49731,0.00722,1.29041,0.55895,0.4645,0.5294,0.35442,0.56261,0.47829,0.49792,0.23438,1.25173,1.47365,1.53754,0.0102,0,0.00128269,0.00128269,0.00128269
90,2074.26,1.44169,1.75565,1.43541,0.00753,1.1685,0.61057,0.4412,0.52035,0.35622,0.60337,0.44006,0.48795,0.22107,1.23801,1.52011,1.53447,0.01001,0,0.00125394,0.00125394,0.00125394
91,2096.58,1.40204,1.60715,1.45773,0.00768,1.15168,0.50093,0.50581,0.52584,0.35181,0.4628,0.50286,0.5024,0.22378,1.24586,1.49171,1.53489,0.00977,0,0.00122529,0.00122529,0.00122529
92,2118.9,1.38706,1.60253,1.48912,0.00782,1.13768,0.461,0.56134,0.53737,0.3648,0.45511,0.52981,0.52057,0.22666,1.23742,1.46651,1.49175,0.00972,0,0.00119675,0.00119675,0.00119675
93,2141.2,1.37997,1.57962,1.5418,0.0082,1.22628,0.55602,0.53645,0.54574,0.37135,0.51469,0.49877,0.49975,0.23754,1.2422,1.48995,1.45508,0.00983,0,0.00116833,0.00116833,0.00116833
94,2163.37,1.3845,1.71579,1.50717,0.00766,1.11037,0.52348,0.53346,0.54828,0.38637,0.47946,0.50147,0.50162,0.24902,1.18474,1.49005,1.44389,0.00921,0,0.00114005,0.00114005,0.00114005
95,2186.08,1.34826,1.62379,1.46772,0.00685,1.14072,0.53503,0.52789,0.54911,0.37235,0.4783,0.5111,0.48961,0.24076,1.20664,1.43832,1.4876,0.00917,0,0.00111191,0.00111191,0.00111191
96,2208.5,1.39168,1.59397,1.42686,0.00757,1.1394,0.50582,0.52268,0.53695,0.36173,0.46747,0.52236,0.48009,0.23412,1.2261,1.43435,1.50248,0.00917,0,0.00108393,0.00108393,0.00108393
97,2231.2,1.37776,1.52962,1.41661,0.0076,1.16579,0.52102,0.55444,0.55667,0.38463,0.49319,0.52679,0.50852,0.25322,1.22554,1.44072,1.45443,0.00917,0,0.00105611,0.00105611,0.00105611
98,2253.28,1.39072,1.67335,1.41506,0.00728,1.16693,0.54518,0.56794,0.57155,0.3981,0.51226,0.53109,0.52477,0.25754,1.18442,1.4625,1.41026,0.00899,0,0.00102847,0.00102847,0.00102847
99,2275.67,1.32122,1.62052,1.40288,0.00662,1.12714,0.50547,0.56134,0.55011,0.38599,0.47187,0.52823,0.50067,0.23833,1.15524,1.4714,1.44851,0.00865,0,0.00100102,0.00100102,0.00100102
100,2297.63,1.33136,1.63568,1.43759,0.00713,1.09595,0.46443,0.58,0.54735,0.38209,0.47316,0.50968,0.51345,0.23257,1.15959,1.4628,1.47304,0.00893,0,0.000973761,0.000973761,0.000973761
